Level	Date and Time	Source	Event ID	Task Category
Warning	3/30/2017 9:22:59 PM	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/30/2017 9:22:55 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/30/2017 9:22:54 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
